lat,lon,time,week1,week2,week3,week4,weekm0,weekm1,weekm2,weekm3,later,clim_later,clim_week1,clim_week2,clim_week3,clim_week4,clim_weekm0,clim_weekm1,clim_weekm2,clim_weekm3,clim_mok_later,clim_mok_week1,clim_mok_week2,clim_mok_week3,clim_mok_week4,clim_mok_weekm0,clim_mok_weekm1,clim_mok_weekm2,clim_mok_weekm3,clim_con_later,clim_con_week1,clim_con_week2,clim_con_week3,clim_con_week4,
24,88,5/29/2025,0.087205706,0.101272415,0.319877634,0.220267885,0,0,0,0,0.27137636,0.053114407,0.220302326,0.279804181,0.248979643,0.128998465,0.05783595,0.010748193,2.15E-04,0,0.058746851,0.227931628,0.302163452,0.265953414,0.145204654,0.336730484,0.003909062,0,0,0.058746851,0.227931628,0.302163452,0.265953414,0.145204654,1
26,84,5/29/2025,0.005355724,0.02030517,0.266085357,0.396068557,0,0,0,0,0.312185192,0.301591801,0.083000303,0.139556982,0.209104922,0.245420115,0.020383288,9.40E-04,0,0,0.316145584,0.082487988,0.140230878,0.211024611,0.250110939,0.093426932,0.011560213,1.27E-04,0,0.316145584,0.082487988,0.140230878,0.211024611,0.250110939,1
20,76,6/3/2025,0.082948426,0.285679244,0.128004954,0.148380815,0,0,0,0,0.354986561,0.172378929,0.181506569,0.236461664,0.174910425,0.108910292,0.088979086,0.024197605,0.003700401,1.53E-04,0.206838879,0.200857453,0.266764643,0.200933718,0.124605307,0.25900268,0.152759275,0.005878168,0,0.206838879,0.200857453,0.266764643,0.200933718,0.124605307,1
20,78,6/3/2025,0.076230848,0.33018833,0.25283298,0.139744559,0,0,0,0,0.201003283,0.110481793,0.194700663,0.291439416,0.228918322,0.100682609,0.070517708,0.003255166,0,0,0.12207092,0.20706103,0.306582279,0.255414971,0.1088708,0.265772466,0.122587003,0.004708573,0,0.12207092,0.20706103,0.306582279,0.255414971,0.1088708,1
20,80,6/3/2025,0.047287647,0.332867594,0.328663961,0.130823486,0,0,0,0,0.160357311,0.083945565,0.159696407,0.272057625,0.26711153,0.129925326,0.069227272,0.017220736,8.13E-04,0,0.094753315,0.17015076,0.29313506,0.295159452,0.146801414,0.264747652,0.090006226,0.00341028,0,0.094753315,0.17015076,0.29313506,0.295159452,0.146801414,1
20,82,6/3/2025,0.041264652,0.36546232,0.258944322,0.108109078,0,0,0,0,0.226219628,0.04016494,0.208608637,0.281525404,0.247697319,0.114316433,0.084903308,0.020794288,0.001986958,0,0.047168511,0.227895657,0.312099734,0.28005889,0.132777208,0.327357373,0.10272265,0.001432845,0,0.047168511,0.227895657,0.312099734,0.28005889,0.132777208,1
20,84,6/3/2025,0.065399479,0.388429433,0.196644572,0.086066827,0,0,0,0,0.263459689,0.040187979,0.216982911,0.283533742,0.20914571,0.098540669,0.111458927,0.032773072,0.007057839,3.18E-04,0.04983467,0.250004692,0.33144838,0.249530314,0.119181943,0.325334934,0.174234464,0.002020764,0,0.04983467,0.250004692,0.33144838,0.249530314,0.119181943,1
22,76,6/3/2025,0.030232284,0.285381086,0.2545442,0.168233012,0,0,0,0,0.261609416,0.239200125,0.11369324,0.20895012,0.21749659,0.15572085,0.052239947,0.012158003,5.38E-04,0,0.259759875,0.118272798,0.219887061,0.233992021,0.168088244,0.184921287,0.093793125,0.014488187,2.85E-04,0.259759875,0.118272798,0.219887061,0.233992021,0.168088244,1
22,78,6/3/2025,0.025436048,0.332053391,0.337897633,0.147072221,0,0,0,0,0.157540707,0.161140096,0.137190494,0.233165688,0.244741181,0.162040618,0.052251897,0.009250219,2.14E-04,0,0.175482993,0.141872886,0.244806856,0.262232577,0.175604688,0.199617619,0.0840004,0.007799923,1.26E-05,0.175482993,0.141872886,0.244806856,0.262232577,0.175604688,1
22,80,6/3/2025,0.018531157,0.33327851,0.375466079,0.144417383,0,0,0,0,0.128306871,0.115247509,0.140856915,0.246106137,0.269331806,0.168610158,0.049452203,0.010005278,3.88E-04,0,0.126648418,0.145229751,0.257706359,0.28746939,0.182946082,0.233927507,0.066943895,0.002761006,0,0.126648418,0.145229751,0.257706359,0.28746939,0.182946082,1
22,82,6/3/2025,0.018702342,0.389928193,0.335540413,0.09046371,0,0,0,0,0.165365341,0.076227316,0.173883185,0.270702071,0.270940748,0.139353895,0.059796475,0.008978808,1.15E-04,0,0.08541869,0.181833526,0.285444802,0.293696005,0.153606977,0.290487945,0.062185125,6.69E-04,0,0.08541869,0.181833526,0.285444802,0.293696005,0.153606977,1
