lon,lat,time,week1,week2,week3,week4,later
76,32,2025-06-17,0.5,0.26666666666666666,0.1,0.06666666666666667,0.06666666666666667
78,24,2025-06-17,0.8333333333333334,0.13333333333333333,0,0,0.03333333333333333
78,30,2025-06-17,0.9333333333333333,0.06666666666666667,0,0,0
80,24,2025-06-17,1,0,0,0,0
82,26,2025-06-17,1,0,0,0,0
84,26,2025-06-17,1,0,0,0,0
76,26,2025-06-12,0.13333333333333333,0.4,0.16666666666666666,0.16666666666666666,0.13333333333333333
78,26,2025-06-12,0.5,0.4,0.06666666666666667,0.03333333333333333,0
78,28,2025-06-12,0.6,0.3,0.06666666666666667,0.03333333333333333,0
78,30,2025-06-12,0.36666666666666664,0.4,0.13333333333333333,0.06666666666666667,0.03333333333333333
76,20,2025-06-10,0.5,0.43333333333333335,0.03333333333333333,0.03333333333333333,0
76,24,2025-06-10,0.03333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.13333333333333333
76,32,2025-06-10,0,0.2,0.2,0.2,0.4
78,22,2025-06-10,0.4666666666666667,0.4,0.06666666666666667,0.06666666666666667,0
78,24,2025-06-10,0.2,0.6,0.1,0.03333333333333333,0.06666666666666667
78,26,2025-06-10,0.23333333333333334,0.4666666666666667,0.2,0.1,0
78,30,2025-06-10,0.03333333333333333,0.5333333333333333,0.3333333333333333,0.1,0
80,20,2025-06-10,0.8666666666666667,0.13333333333333333,0,0,0
80,22,2025-06-10,0.6666666666666666,0.26666666666666666,0.03333333333333333,0.03333333333333333,0
80,24,2025-06-10,0.5333333333333333,0.36666666666666664,0.03333333333333333,0.06666666666666667,0
80,26,2025-06-10,0.5,0.4,0.1,0,0
80,28,2025-06-10,0.3333333333333333,0.5333333333333333,0.13333333333333333,0,0
82,22,2025-06-10,0.8333333333333334,0.16666666666666666,0,0,0
82,24,2025-06-10,0.7333333333333333,0.26666666666666666,0,0,0
82,26,2025-06-10,0.7,0.26666666666666666,0.03333333333333333,0,0
84,24,2025-06-10,0.9666666666666667,0.03333333333333333,0,0,0
84,26,2025-06-10,0.9,0.1,0,0,0
86,24,2025-06-10,0.9666666666666667,0.03333333333333333,0,0,0
88,24,2025-06-10,0.9333333333333333,0.06666666666666667,0,0,0
76,20,2025-06-03,0.13333333333333333,0.6333333333333333,0.03333333333333333,0.1,0.1
76,24,2025-06-03,0,0.26666666666666666,0.2,0.1,0.43333333333333335
76,26,2025-06-03,0,0.1,0.16666666666666666,0.23333333333333334,0.5
76,32,2025-06-03,0,0,0.2,0.2,0.6
78,22,2025-06-03,0,0.7,0.13333333333333333,0.1,0.06666666666666667
78,24,2025-06-03,0,0.5,0.13333333333333333,0.13333333333333333,0.23333333333333334
78,26,2025-06-03,0,0.36666666666666664,0.3,0.23333333333333334,0.1
78,28,2025-06-03,0,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333
78,30,2025-06-03,0,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.26666666666666666
80,20,2025-06-03,0.3333333333333333,0.5,0.1,0.06666666666666667,0
80,22,2025-06-03,0.06666666666666667,0.6333333333333333,0.16666666666666666,0.1,0.03333333333333333
80,24,2025-06-03,0,0.6,0.13333333333333333,0.2,0.06666666666666667
80,26,2025-06-03,0,0.5333333333333333,0.36666666666666664,0.06666666666666667,0.03333333333333333
80,28,2025-06-03,0,0.5333333333333333,0.3,0.13333333333333333,0.03333333333333333
82,22,2025-06-03,0.2,0.6,0.1,0.1,0
82,24,2025-06-03,0,0.7333333333333333,0.13333333333333333,0.13333333333333333,0
82,26,2025-06-03,0,0.6,0.3333333333333333,0.06666666666666667,0
84,24,2025-06-03,0.03333333333333333,0.7,0.23333333333333334,0.03333333333333333,0
84,26,2025-06-03,0.03333333333333333,0.8666666666666667,0.1,0,0
86,24,2025-06-03,0.13333333333333333,0.7666666666666667,0.1,0,0
88,24,2025-06-03,0.4,0.5666666666666667,0.03333333333333333,0,0
76,20,2025-05-29,0,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.2
78,22,2025-05-29,0,0,0.5333333333333333,0.23333333333333334,0.23333333333333334
80,20,2025-05-29,0,0.03333333333333333,0.6,0.2,0.16666666666666666
80,22,2025-05-29,0,0,0.6,0.2,0.2
82,22,2025-05-29,0,0,0.6333333333333333,0.2,0.16666666666666666
84,24,2025-05-29,0,0,0.43333333333333335,0.4,0.16666666666666666
84,26,2025-05-29,0.03333333333333333,0.2,0.5666666666666667,0.2,0
86,24,2025-05-29,0.06666666666666667,0.3,0.43333333333333335,0.16666666666666666,0.03333333333333333
88,24,2025-05-29,0.4,0.3333333333333333,0.2,0.06666666666666667,0
